Unnamed: 0,UF 8_9,UF 11_12,UF 14_15,UF 7
10530,1,1,1,1
10532,1,1,1,1
10993,1,1,1,0
11010,1,1,1,1
11375,1,1,1,0
11470,1,1,1,1
11905,1,1,1,0
12073,1,1,1,0
13102,0,0,0,1
13136,1,1,1,1
13140,1,1,1,0
14011,1,1,1,1
14825,1,1,1,1
14912,1,1,1,1
14915,1,1,1,1
14932,1,1,1,0
15024,1,1,1,1
15255,1,1,1,0
15256,1,1,1,1
15536,1,1,1,1
15537,1,1,1,1
17237,1,1,1,1
17241,1,1,1,1
17276,1,1,1,0
17291,1,1,1,1
17516,1,1,1,0
17930,1,1,1,1
19765,1,1,1,1
19767,1,1,1,1
20343,1,1,1,0
20353,1,1,1,1
20355,1,1,1,1
20634,1,1,1,1
20635,1,1,1,1
20656,1,1,1,1
20906,1,1,1,1
21136,1,1,1,1
21138,1,1,1,1
21139,1,1,1,1
21708,1,1,1,1
21721,1,1,1,1
22961,1,1,1,1
23136,1,1,1,1
23138,1,1,1,1
23322,1,1,1,1
23890,1,1,1,1
23893,0,0,0,1
24478,1,1,1,1
24733,1,1,1,1
24734,1,1,1,1
25067,1,1,1,1
4552,1,1,1,1
4557,1,1,1,1
4560,1,1,1,1
4566,2,2,2,1
4567,1,1,1,1
4582,1,1,1,1
4586,1,1,1,1
4591,1,1,1,1
4594,1,1,1,1
4613,1,1,1,0
4616,1,1,1,1
4627,0,0,0,1
4630,1,1,1,1
4637,1,1,1,1
4645,1,1,1,1
4668,1,1,1,1
4683,1,1,1,0
4690,1,1,1,1
4725,0,0,0,1
4727,1,1,1,1
4730,1,1,1,1
4742,1,1,1,1
4758,2,2,2,1
4764,1,1,1,1
4781,1,1,1,1
4783,1,1,1,1
5119,1,1,1,0
8283,1,1,1,1
8822,1,1,1,1
9084,1,1,1,1
9085,1,1,1,0
9172,1,1,1,0
9591,1,1,1,0
9935,1,1,1,0
9936,1,1,1,1
9975,1,1,1,1
9976,1,1,1,1
26708,1,1,1,0
26777,1,1,1,0
27119,1,1,1,0
27120,0,0,1,0
