Machine_PROD,count,min,mean,max,std,Fermentation__process (hrs),Fermentation__process extra (hrs),Fermentation__post (hrs)
F100 - ARF,5,144.45,151.00333333999998,164.5,8.289035593947117,150,0,8
F100 - ARO,5,136.6333333,143.0,146.4166667,3.8227208345481953,144,0,6
F100 - ASG,2,100.75,110.075,119.4,13.187541469129116,110,0,8
F100 - CPG,2,129.9333333,131.94166665,133.95,2.840212261336183,148,0,6
F100 - EDP,9,53.13333333,66.14629629666666,84.03333333,10.880119414501255,137,0,12
F100 - EPG,3,125.6666667,130.0055555666667,136.6666667,5.856153788268532,148,0,7
F100 - FUM,9,92.51666667,102.19629628555555,111.5,6.164947826817445,118,0,15
F100 - FUR,24,42.2,52.53888888875,67.51666667,5.2143606672753595,60,0,17
F100 - GOP,13,32.26666667,39.917948717692305,45.78333333,4.284103159364584,48,0,18
F100 - INV,2,60.91666667,63.81666667,66.71666667,4.101219330881974,65,0,8
F100 - MAM,12,71.31666667,84.54305555666667,90.58333333,5.122550945703382,87,0,15
F100 - MAX KPO,1,89.36666667,89.36666667,89.36666667,,75,0,15
F100 - NBA,1,99.8,99.8,99.8,,90,0,17
F100 - PLN,2,54.95,57.325,59.7,3.3587572106361008,64,0,8
F100 - PLS,3,93.63333333,99.05555554333334,102.8333333,4.815407359746036,96,0,15
F100 - PME,2,115.8166667,128.1916667,140.5666667,17.500892834367058,144,0,6
F100 - ROM,8,77.01666667,86.29166666625,94.28333333,5.5660820900420855,90,0,15
F140 - ARF,2,135.7333333,145.74166665,155.75,14.153920760320965,150,0,8
F140 - BGF,12,67.0,75.41944444416667,82.86666667,4.660178571328032,70,0,10
F140 - BXN,7,34.73333333,39.89047619,51.48333333,5.815113267652175,38,0,8
F140 - FDA,8,119.8166667,134.75,147.0,9.455048190311414,134,0,9
F140 - GPP,16,59.9,68.375000000625,82.83333333,7.015849779322427,68,0,23
F140 - MAM,11,69.1,83.63030302909091,92.98333333,5.869558085382733,87,0,15
F140 - MAX,4,90.1,94.9750000025,98.21666667,3.4717510807068095,96,0,11
F140 - NBA,2,84.46666667,89.09166667,93.71666667,6.540737725975565,95,0,17
F140 - PBN,7,23.06666667,24.171428572857142,25.11666667,0.8428190297131182,30,0,7
F140 - PEC KPO,1,136.6833333,136.6833333,136.6833333,,133,0,10
F140 - PNR,11,22.21666667,28.700000001818182,51.21666667,8.03980721186978,39,0,7
F140 - XYL,5,0.0,42.056666668000005,56.63333333,23.703713961678268,51,0,8
F218 - ASG,9,105.3666667,109.72407407777777,114.9,3.624761584115856,110,0,8
F218 - ASP,10,69.85,85.90833334,105.2166667,11.118090180165117,100,0,8
F218 - ASP,10,69.85,85.90833334,105.2166667,11.118090180165117,100,0,8
F218 - CIN,9,96.86666667,104.45185184777777,121.1,7.62820717281467,96,0,11
F218 - EDP,23,66.86666667,119.80072463782608,133.7333333,13.624097111505364,130,0,15
F218 - EDX,13,89.75,114.21666667461538,138.7166667,12.768001094199574,104,0,7
F218 - EDX,13,89.75,114.21666667461538,138.7166667,12.768001094199574,104,0,7
F218 - FRO,17,88.43333333,97.66960784235295,106.05,5.023656657849286,92,0,7
F218 - FRO,17,88.43333333,97.66960784235295,106.05,5.023656657849286,92,0,7
F218 - FUM,2,93.51666667,97.483333335,101.45,5.609713795056247,118,0,15
F218 - GOX,25,81.41666667,101.32666666159999,123.1,11.10771545188044,110,0,23
F218 - GOX,25,81.41666667,101.32666666159999,123.1,11.10771545188044,110,0,23
F218 - GPP,29,51.83333333,76.45632183827587,101.7,10.798787790094076,68,0,23
F218 - INV,14,56.81666667,65.13214285642857,71.41666667,4.0644248981912865,65,0,8
F218 - LYX,5,123.4666667,127.35999999999999,135.15,4.638959414177804,128,0,8
F218 - LYX,5,123.4666667,127.35999999999999,135.15,4.638959414177804,128,0,8
F218 - MAX,15,75.96666667,100.23888889133333,113.7,9.948439831415328,96,0,11
F218 - MAX KPO,1,75.28333333,75.28333333,75.28333333,,72,0,15
F218 - MXB,7,107.7666667,118.22857142857143,129.25,8.030662954758874,127,0,7
F218 - MXB,7,107.7666667,118.22857142857143,129.25,8.030662954758874,127,0,7
F218 - PEC,2,100.5833333,103.84166665000001,107.1,4.607979214302547,100,0,6
F218 - PEC,2,100.5833333,103.84166665000001,107.1,4.607979214302547,100,0,6
F218 - PLA,12,127.5833333,140.09166666666667,157.0666667,8.221146366357358,144,0,8
F218 - PLA,12,127.5833333,140.09166666666667,157.0666667,8.221146366357358,144,0,8
F218 - TAN,23,76.08333333,89.78768115913044,103.6,7.3864283436796,86,0,10
F218 - TAN,23,76.08333333,89.78768115913044,103.6,7.3864283436796,86,0,10
