ID,SKU EoF,Enzyme
1,4584,FRO
2,4589,GOX
3,4611,LYX
4,4614,PEC
5,4625,PNR
6,4629,PBN
7,4631,MAX
8,4635,XYL
9,4643,FDA
10,4681,EDX
11,4692,MAX KPO
12,4550,FUA
13,4555,ARF
14,4558,ARO
15,4564,BGF
16,4580,CYT
17,4740,PHY
18,4762,PEC KPO
19,4778,PLA
20,26696,FUM
21,9082,PME
22,9938,EPG
23,9973,ASP
24,13962,BXS
25,10244,INV
26,13106,MXB
27,13133,TAN
28,10535,CPG
29,14469,ASG
30,10996,FUR
31,10998,MAM
32,14123,PGE
33,14624,INV KPO
34,15253,XEA
35,11901,EDP
36,15015,NBA
37,17235,GPP
38,15532,ZBJ
39,17510,CIN
40,20322,BXN
41,20348,PIC
42,17272,GOP
43,25004,EDP-MF
44,21132,GPP FLW
45,21704,GPP KPO
46,25063,CIN KPO
47,24455,ROM
48,23888,PLN
49,26773,CLI
50,24736,MADMAX
51,99991,GPP-CAPUA
52,99992,GENV-CAPUA
53,27115,PLS
54,0,MAI
55,109980,MAM0
