,SKU Interm1,SKU EoF,Fermenter,Batch weight (kg),fermentation_prep,fermentation_time,fermentation_post,harvesting_time,FAM/MF_time,UF_time,stab_time,UF_fractions,UF__Weight ccUF (kg)
0,14011,10996,V100,70000.0,16.0,60.0,17.0,40,26.136046511627907,64.4082057961576,4,1,5993.86666666667
2,14011,10996,V200,154000.0,16.0,60.0,17.0,40,28.488372093023255,70.20514490394008,4,2,13066.6666666667
3,14011,10996,V218,154000.0,16.0,60.0,17.0,40,28.488372093023255,70.20514490394008,4,2,13066.6666666667
4,15537,15532,V100,72000.0,12.0,90.0,8.0,20,21.333333333333332,40.10666666666667,4,1,5013.33333333333
9,17291,17235,V140,90000.0,11.0,68.0,23.0,40,12.958963282937365,23.974082073434126,4,3,11988.0
10,17291,17235,V200,140000.0,11.0,68.0,23.0,40,12.107367410607152,22.39862970962323,4,5,18667.018
12,20355,20348,V100,66000.0,10.0,48.0,18.0,37,25.77923599718772,45.113662995078506,4,1,1503.90625
17,21721,4629,V140,72000.0,10.0,30.0,7.0,5,22.800684020520617,50.1,4,1,1908.57142857143
21,4668,4625,V140,80000.0,20.0,39.0,7.0,5,10.526315789473685,27.496382054992765,4,2,5937.5
25,5119,4635,V140,91000.0,15.0,51.0,16.0,9,16.25,38.03382045929019,4,1,2602.6
30,9976,9973,V200,158000.0,11.0,100.0,8.0,23,26.333333333333332,48.032,4,2,6981.39534883721
31,9976,9973,V218,158000.0,11.0,100.0,8.0,23,26.333333333333332,48.032,4,2,6981.39534883721
